city,sub_city,uid,name,description,rating,price_level,distance_km,brand,latitude,longitude,path
bandung,bandung,13031ea1-a156-4df8-845d-c9ab300d3547,Jack Runner Roastery,,4.8,3,0.21,Jack Runner Roastery,-6.917552,107.617197,/bandung/restaurant/jack-runner-roastery-13031ea1-a156-4df8-845d-c9ab300d3547
bandung,bandung,38536a84-76e1-467b-a547-f5599056a07e,"Nasi Ayam Thailand Noi Nan Pat Chawadee, Sumur Bandung",,0.0,3,1.06,Mangkok Ayam Festival Citylink,-6.919315558355373,107.60973987530136,/bandung/restaurant/nasi-ayam-thailand-noi-nan-pat-chawadee-sumur-bandung-38536a84-76e1-467b-a547-f5599056a07e
bandung,bandung,8b818ba1-71bc-41bc-b792-31009a902527,"KFC, Riau Bandung",,4.9,3,1.25,KFC General,-6.9062706,107.6208878,/bandung/restaurant/kfc-riau-bandung-8b818ba1-71bc-41bc-b792-31009a902527
bandung,bandung,91c81183-af1b-44ee-9b34-34c580deba8a,"Lapau Nasi Mak Uncu, Dalem Kaum",,4.9,2,1.28,Lapau Nasi Mak Uncu,-6.922724,107.608812,/bandung/restaurant/lapau-nasi-mak-uncu-dalem-kaum-91c81183-af1b-44ee-9b34-34c580deba8a
bandung,bandung,05d8faf4-e344-4603-962b-8cc2181de01b,"Nasi Kuning Marbel, Nasi Uduk Marbel & Bubur Ayam Marbel, Pungkur",,4.6,2,1.62,Nasi Kuning MARBEL,-6.927673623680895,107.60861534625293,/bandung/restaurant/nasi-kuning-marbel-nasi-uduk-marbel-bubur-ayam-marbel-pungkur-05d8faf4-e344-4603-962b-8cc2181de01b
bandung,bandung,31d4c3a5-2bb7-4094-987b-15199af6d2ed,"KFC, Dago Bandung",,4.7,3,1.92,KFC General,-6.9016749,107.6119932,/bandung/restaurant/kfc-dago-bandung-31d4c3a5-2bb7-4094-987b-15199af6d2ed
bandung,bandung,8ede7670-ca00-49c9-b677-b7ddef1fad4d,"Lodaya Seafood, KH. Ahmad Dahlan",,4.8,3,1.94,Lodaya Seafood,-6.934288,107.624116,/bandung/restaurant/lodaya-seafood-kh-ahmad-dahlan-8ede7670-ca00-49c9-b677-b7ddef1fad4d
bandung,bandung,d24619ba-53ce-4a6c-a202-b7dbf32d988f,"Bubur Ayam Gwan, Cibadak",,4.6,2,2.14,Bubur Ayam Gwan,-6.921643424320736,107.60019838808375,/bandung/restaurant/bubur-ayam-gwan-cibadak-d24619ba-53ce-4a6c-a202-b7dbf32d988f
bandung,bandung,931a8a70-aac4-4467-bb37-82a0603b6fa5,"Sate Padang Dan Jus Raja Murah, Turangga Timur","menyediakan sate padang, aneka jus buah dan minuman lainnya. Dijamin halal.",4.0,3,2.32,Sate Padang Dan Jus Raja Murah,-6.929503,107.636281,/bandung/restaurant/sate-padang-dan-jus-raja-murah-turangga-timur-931a8a70-aac4-4467-bb37-82a0603b6fa5
bandung,bandung,1601a5e9-6ac5-47ce-8516-23d01af01e3e,"Nasi Goreng Latansa, Tamansari",,4.5,2,2.49,Nasi Goreng Latansa,-6.897097,107.609601,/bandung/restaurant/nasi-goreng-latansa-tamansari-1601a5e9-6ac5-47ce-8516-23d01af01e3e
bandung,bandung,7f9522b0-11e1-4c57-b363-5f7375adca57,"Martabak Al Khalid, Jl. Gagak",,4.9,2,2.51,"Dapur Al-Khalid Jasuke dan Pisang Keju, Pasteur",-6.895636,107.625269,/bandung/restaurant/martabak-al-khalid-jl-gagak-7f9522b0-11e1-4c57-b363-5f7375adca57
bandung,bandung,22623d73-3b03-4002-8822-292b91c6b800,"Domino's Pizza, Buah Batu",,4.8,3,2.51,Domino's Pizza,-6.939359303,107.6252141,/bandung/restaurant/domino-s-pizza-buah-batu-22623d73-3b03-4002-8822-292b91c6b800
