city,sub_city,name,description,rating,distance_km,latitude,longitude,partner_status,price_level,taste_rating,presentation_rating,portion_rating,promo,priceRange,opening_hours,aggregateRating,category_menus,menu_name,menu_description,menu_price
bandung,bandung,"KFC, Riau Bandung",,4.9,,-6.9062706,107.6208878,,,,,,,40rb-100rb,Senin:0:0-23:59; Selasa:0:0-23:59; Rabu:0:0-23:59; Kamis:0:0-23:59; Jumat:0:0-23:59; Sabtu:0:0-23:59; Minggu:0:0-23:59,"ratingCount:32461, ratingValue:4.9",Hot Deals,KFC Attack Burger,Crispy Burger + Softdrink Reguler,15000
bandung,bandung,"KFC, Riau Bandung",,4.9,,-6.9062706,107.6208878,,,,,,,40rb-100rb,Senin:0:0-23:59; Selasa:0:0-23:59; Rabu:0:0-23:59; Kamis:0:0-23:59; Jumat:0:0-23:59; Sabtu:0:0-23:59; Minggu:0:0-23:59,"ratingCount:32461, ratingValue:4.9",Hot Deals,KFC Attack Noodle,Noodle + Softdrink Reguler,15000
bandung,bandung,"KFC, Riau Bandung",,4.9,,-6.9062706,107.6208878,,,,,,,40rb-100rb,Senin:0:0-23:59; Selasa:0:0-23:59; Rabu:0:0-23:59; Kamis:0:0-23:59; Jumat:0:0-23:59; Sabtu:0:0-23:59; Minggu:0:0-23:59,"ratingCount:32461, ratingValue:4.9",Hot Deals,Triple Treat,3Pc Chicken + 3Rice + 3 Coca Cola Reguler,69000
bandung,bandung,"KFC, Riau Bandung",,4.9,,-6.9062706,107.6208878,,,,,,,40rb-100rb,Senin:0:0-23:59; Selasa:0:0-23:59; Rabu:0:0-23:59; Kamis:0:0-23:59; Jumat:0:0-23:59; Sabtu:0:0-23:59; Minggu:0:0-23:59,"ratingCount:32461, ratingValue:4.9",Hot Deals,KFC Attack Nasi Uduk,Nasi Uduk + Softdrink Reguler,15000
bandung,bandung,"KFC, Riau Bandung",,4.9,,-6.9062706,107.6208878,,,,,,,40rb-100rb,Senin:0:0-23:59; Selasa:0:0-23:59; Rabu:0:0-23:59; Kamis:0:0-23:59; Jumat:0:0-23:59; Sabtu:0:0-23:59; Minggu:0:0-23:59,"ratingCount:32461, ratingValue:4.9",New Product,Nasi Uduk,Nasi Uduk,20500
bandung,bandung,"KFC, Riau Bandung",,4.9,,-6.9062706,107.6208878,,,,,,,40rb-100rb,Senin:0:0-23:59; Selasa:0:0-23:59; Rabu:0:0-23:59; Kamis:0:0-23:59; Jumat:0:0-23:59; Sabtu:0:0-23:59; Minggu:0:0-23:59,"ratingCount:32461, ratingValue:4.9",New Product,Nasi Uduk+Telur Dadar,1 Nasi Uduk + 1 Telur Dadar,26500
bandung,bandung,"KFC, Riau Bandung",,4.9,,-6.9062706,107.6208878,,,,,,,40rb-100rb,Senin:0:0-23:59; Selasa:0:0-23:59; Rabu:0:0-23:59; Kamis:0:0-23:59; Jumat:0:0-23:59; Sabtu:0:0-23:59; Minggu:0:0-23:59,"ratingCount:32461, ratingValue:4.9",New Product,KFC Noodle,1 porsi KFC Noodle,16000
bandung,bandung,"KFC, Riau Bandung",,4.9,,-6.9062706,107.6208878,,,,,,,40rb-100rb,Senin:0:0-23:59; Selasa:0:0-23:59; Rabu:0:0-23:59; Kamis:0:0-23:59; Jumat:0:0-23:59; Sabtu:0:0-23:59; Minggu:0:0-23:59,"ratingCount:32461, ratingValue:4.9",New Product,KFC Noodle + Chicken,1 KFC Noodle + 1 pc Chicken,32000
bandung,bandung,"KFC, Riau Bandung",,4.9,,-6.9062706,107.6208878,,,,,,,40rb-100rb,Senin:0:0-23:59; Selasa:0:0-23:59; Rabu:0:0-23:59; Kamis:0:0-23:59; Jumat:0:0-23:59; Sabtu:0:0-23:59; Minggu:0:0-23:59,"ratingCount:32461, ratingValue:4.9",New Product,KFC Noodle + Chicken Sprite,1 KFC Noodle + 1 pc Chicken + 1 Sprite Reguler,35500
bandung,bandung,"KFC, Riau Bandung",,4.9,,-6.9062706,107.6208878,,,,,,,40rb-100rb,Senin:0:0-23:59; Selasa:0:0-23:59; Rabu:0:0-23:59; Kamis:0:0-23:59; Jumat:0:0-23:59; Sabtu:0:0-23:59; Minggu:0:0-23:59,"ratingCount:32461, ratingValue:4.9",New Product,Add On Sambal Bawang,1 Sambal Bawang Sachet,3000
bandung,bandung,"KFC, Riau Bandung",,4.9,,-6.9062706,107.6208878,,,,,,,40rb-100rb,Senin:0:0-23:59; Selasa:0:0-23:59; Rabu:0:0-23:59; Kamis:0:0-23:59; Jumat:0:0-23:59; Sabtu:0:0-23:59; Minggu:0:0-23:59,"ratingCount:32461, ratingValue:4.9",New Product,Don Series With Egg,1 porsi Don Series  + 1 Egg,26000
bandung,bandung,"KFC, Riau Bandung",,4.9,,-6.9062706,107.6208878,,,,,,,40rb-100rb,Senin:0:0-23:59; Selasa:0:0-23:59; Rabu:0:0-23:59; Kamis:0:0-23:59; Jumat:0:0-23:59; Sabtu:0:0-23:59; Minggu:0:0-23:59,"ratingCount:32461, ratingValue:4.9",New Product,Avocado Float,Avocado Float,18000
bandung,bandung,"KFC, Riau Bandung",,4.9,,-6.9062706,107.6208878,,,,,,,40rb-100rb,Senin:0:0-23:59; Selasa:0:0-23:59; Rabu:0:0-23:59; Kamis:0:0-23:59; Jumat:0:0-23:59; Sabtu:0:0-23:59; Minggu:0:0-23:59,"ratingCount:32461, ratingValue:4.9",New Product,Sup Tahu Bakso Pangsit,1 Tahu Bakso &amp; 1 Pangsit,16000
bandung,bandung,"KFC, Riau Bandung",,4.9,,-6.9062706,107.6208878,,,,,,,40rb-100rb,Senin:0:0-23:59; Selasa:0:0-23:59; Rabu:0:0-23:59; Kamis:0:0-23:59; Jumat:0:0-23:59; Sabtu:0:0-23:59; Minggu:0:0-23:59,"ratingCount:32461, ratingValue:4.9",Kombo,Super Besar 1,1 pc Chicken + 1 Rice + 1 Coca-Cola Medium,40500
bandung,bandung,"KFC, Riau Bandung",,4.9,,-6.9062706,107.6208878,,,,,,,40rb-100rb,Senin:0:0-23:59; Selasa:0:0-23:59; Rabu:0:0-23:59; Kamis:0:0-23:59; Jumat:0:0-23:59; Sabtu:0:0-23:59; Minggu:0:0-23:59,"ratingCount:32461, ratingValue:4.9",Kombo,Super Besar 2,2 pc Chicken + 1 Rice + 1 Coca-Cola Medium,53500
bandung,bandung,"KFC, Riau Bandung",,4.9,,-6.9062706,107.6208878,,,,,,,40rb-100rb,Senin:0:0-23:59; Selasa:0:0-23:59; Rabu:0:0-23:59; Kamis:0:0-23:59; Jumat:0:0-23:59; Sabtu:0:0-23:59; Minggu:0:0-23:59,"ratingCount:32461, ratingValue:4.9",Kombo,Classic 2,2 PC Chicken + 1 Coleslaw + 1 Fanta Medium,61500
bandung,bandung,"KFC, Riau Bandung",,4.9,,-6.9062706,107.6208878,,,,,,,40rb-100rb,Senin:0:0-23:59; Selasa:0:0-23:59; Rabu:0:0-23:59; Kamis:0:0-23:59; Jumat:0:0-23:59; Sabtu:0:0-23:59; Minggu:0:0-23:59,"ratingCount:32461, ratingValue:4.9",Kombo,Classic 3,1 PC Chicken + 1 Mashed Potato Gravy + 1 Coleslaw + 1 Fanta Reguler,52000
bandung,bandung,"KFC, Riau Bandung",,4.9,,-6.9062706,107.6208878,,,,,,,40rb-100rb,Senin:0:0-23:59; Selasa:0:0-23:59; Rabu:0:0-23:59; Kamis:0:0-23:59; Jumat:0:0-23:59; Sabtu:0:0-23:59; Minggu:0:0-23:59,"ratingCount:32461, ratingValue:4.9",Kombo,Classic 4,1 Chicken Sliders + 1 FF Reguler + 1 Fanta Reguler,67500
bandung,bandung,"KFC, Riau Bandung",,4.9,,-6.9062706,107.6208878,,,,,,,40rb-100rb,Senin:0:0-23:59; Selasa:0:0-23:59; Rabu:0:0-23:59; Kamis:0:0-23:59; Jumat:0:0-23:59; Sabtu:0:0-23:59; Minggu:0:0-23:59,"ratingCount:32461, ratingValue:4.9",Kombo,Super Komplit 1,1 Crispy Burger + Half Winger + 1 French Fries Reg + 1 Fanta Reguler,55000
bandung,bandung,"KFC, Riau Bandung",,4.9,,-6.9062706,107.6208878,,,,,,,40rb-100rb,Senin:0:0-23:59; Selasa:0:0-23:59; Rabu:0:0-23:59; Kamis:0:0-23:59; Jumat:0:0-23:59; Sabtu:0:0-23:59; Minggu:0:0-23:59,"ratingCount:32461, ratingValue:4.9",Kombo,Classic 5,1 PC Chicken + 1 Coleslaw + 1 Cream Soup + 1 Mocha Float,49000
bandung,bandung,"KFC, Riau Bandung",,4.9,,-6.9062706,107.6208878,,,,,,,40rb-100rb,Senin:0:0-23:59; Selasa:0:0-23:59; Rabu:0:0-23:59; Kamis:0:0-23:59; Jumat:0:0-23:59; Sabtu:0:0-23:59; Minggu:0:0-23:59,"ratingCount:32461, ratingValue:4.9",Kombo,Super Komplit 2,1 Pc Chicken + 1 Rice + 1 Cream Soup + 1 Mocha Float,49000
