city,sub_city,outlet_name,reviewer,purchase_date,member_since,food_name,review_rating,review_body
bandung,bandung,Jack Runner Roastery,Rama,2024-11-30T16:46:21.528855+07:00,,Jack Runner Roastery,5,raos pisan.. 👍🏽
bandung,bandung,Jack Runner Roastery,T****,2022-06-23T19:38:46.519045+07:00,,Jack Runner Roastery,5,"Enak bgt, jago kang masaknya👏🏻 sesuai request jg.. keep it up!"
bandung,bandung,Jack Runner Roastery,ayu,2022-06-23T13:07:44.740545+07:00,,Jack Runner Roastery,3,nachos nya kaya pangsit :(
bandung,bandung,Jack Runner Roastery,yulisma arista,2022-06-19T15:08:38.230804+07:00,,Jack Runner Roastery,5,"coffee enak, gapernah bosen order di JR mantap"
bandung,bandung,Jack Runner Roastery,O*** M******,2022-06-01T21:47:55.369726+07:00,,Jack Runner Roastery,1,Saya pesan 3 beer ga ada di dalam tas makanan nya. Pdhal udah bayar keseluruhan
bandung,bandung,Jack Runner Roastery,V****,2022-03-17T22:40:10.146092+07:00,,Jack Runner Roastery,4,"sebetulnya enak. sy kasi bintang 4 hanya krn gak sesuai gambar &amp; keterangan Chicken Spicy Salted Egg bowl. kering kerontang cuiiy..mana saus telur asinnya? gak nampak &amp; gak kerasa. klo aj moist dgn saus telur asin, pasti sy kasi bintang 5"
bandung,bandung,Jack Runner Roastery,wilman,2022-03-11T12:57:22.336551+07:00,,Jack Runner Roastery,5,suka banget sama rasanya
bandung,bandung,Jack Runner Roastery,wilman,2022-02-22T12:23:36.129648+07:00,,Jack Runner Roastery,5,iga terbaik yang pernah saya coba ditempat nongki
bandung,bandung,Jack Runner Roastery,irma rahmanti,2022-01-30T00:00:37.607419+07:00,,Jack Runner Roastery,5,love it..pokonya enak recommended
bandung,bandung,Jack Runner Roastery,wilman,2022-01-29T12:59:40.908337+07:00,,Jack Runner Roastery,5,emang terbaik sih ini kalo masalah kualitas rasa 
bandung,bandung,Jack Runner Roastery,Estu Mustika,2022-01-15T17:35:11.073097+07:00,,Jack Runner Roastery,5,Langganan ngopi dan nongkrong disini! Kopi susunya lekoh gak cawerang. Makanan2nya juga enak dan worth harganya. 
bandung,bandung,Jack Runner Roastery,Bil Leon,2022-01-07T12:29:52.648009+07:00,,Jack Runner Roastery,5,very affordable! the chicken needs more seasoing tho but it&apos;s good 👍
bandung,bandung,Jack Runner Roastery,Y*** F*******,2021-12-10T00:30:57.721974+07:00,,Jack Runner Roastery,5,"makanannya mantap, mungkin dengan tambahan sayuran untuk burgernya bisa lebih mantap lagi haha
minumannya mantap, tanpa kotak es namun langsung diblender dengan minumannya, membuat rasa minumannya tetap terjaga tanpa terganggu oleh es yang mencair, benar benar favorit untuk minuman!!"
bandung,bandung,Jack Runner Roastery,Natasha,2021-11-30T16:40:40.772427+07:00,,Jack Runner Roastery,5,Burgeerrr sAma iganya dabestt
bandung,bandung,Jack Runner Roastery,R***,2021-10-23T19:08:02.685911+07:00,,Jack Runner Roastery,3,Makanan yg datangnya salah. Harusnya tahu pletok kering ini malah cabe garam. Di wa tidak di bls
bandung,bandung,Jack Runner Roastery,Y****,2021-06-30T19:02:29.756006+07:00,,Jack Runner Roastery,2,harga tiba tiba naik drastis untuk porsi sedikit dan untuk specialis makanan saja tidak sampai naik 2x lipat. dari 
bandung,bandung,Jack Runner Roastery,G**,2021-06-06T22:21:48.311832+07:00,,Jack Runner Roastery,5,laf bgt dah syukaaa
bandung,bandung,Jack Runner Roastery,F**** O********,2020-12-18T11:33:48.912+07:00,,Jack Runner Roastery,5,"enak enak makanannya
"
bandung,bandung,Jack Runner Roastery,T****,2020-07-13T17:02:44.842+07:00,,Jack Runner Roastery,5,"roti nya kecil ternyata :( tapi makasihhhh, enak lohh :)"
bandung,bandung,Jack Runner Roastery,M******,2019-12-15T13:57:06.489+07:00,,Jack Runner Roastery,5,Smooth coffee every time
bandung,bandung,"KFC, Riau Bandung",M***,2025-02-01T20:12:59.051499+07:00,,"KFC, Riau Bandung",3,tidak di kasih sambalnya
bandung,bandung,"KFC, Riau Bandung",Kun Indtarti,2025-01-30T14:33:26.783006+07:00,,"KFC, Riau Bandung",4,pesanan sesuai yaitu original
bandung,bandung,"KFC, Riau Bandung",R**,2025-01-23T00:08:03.429557+07:00,,"KFC, Riau Bandung",2,minta sauce tambahan aja ngga d kasih beda sama burger king
bandung,bandung,"KFC, Riau Bandung",Asti,2025-01-22T09:20:19.384344+07:00,,"KFC, Riau Bandung",2,Pesen soup tp ga dateng padahal buat anak
bandung,bandung,"KFC, Riau Bandung",A****** T*******,2025-01-09T05:16:06.452235+07:00,,"KFC, Riau Bandung",3,"tidak ada saus, tidak ada sedotan, tidak ada sendok soup!"
bandung,bandung,"KFC, Riau Bandung",D*** H**,2025-01-04T15:13:12.35105+07:00,,"KFC, Riau Bandung",4,"tidak sesuai dengan pesanan,
minta paha bawah, semuanya dada"
bandung,bandung,"KFC, Riau Bandung",bagus windianto,2024-12-21T13:27:05.018657+07:00,,"KFC, Riau Bandung",5,mantulllllllllll
bandung,bandung,"KFC, Riau Bandung",Merine,2024-12-12T11:44:53.192022+07:00,,"KFC, Riau Bandung",5,"enak selaluuuu.. kfc riau meny classic, coleslaw hanya ada di kfc riau"
bandung,bandung,"KFC, Riau Bandung",R***,2024-12-04T16:23:17.935953+07:00,,"KFC, Riau Bandung",5,"mantap👍 makanan hangat, bersih, crispy, enak"
bandung,bandung,"KFC, Riau Bandung",viola octavia,2024-11-13T01:50:30.589714+07:00,,"KFC, Riau Bandung",2,"di deskripsi nasinya dua, yg dateng satu hehe"
bandung,bandung,"KFC, Riau Bandung",I***,2024-10-28T04:25:14.09666+07:00,,"KFC, Riau Bandung",5,Parah lah enakeun seubun-ubun!
bandung,bandung,"KFC, Riau Bandung",Carlina,2024-10-09T11:10:34.305714+07:00,,"KFC, Riau Bandung",5,cepet sampainya n enakk
bandung,bandung,"KFC, Riau Bandung",T*****,2024-09-11T16:43:59.762907+07:00,,"KFC, Riau Bandung",2,Saus tomatnya hrs di request ya mas/mba supaya dikasih?
bandung,bandung,"KFC, Riau Bandung",iqbal maulana kamil,2024-09-09T21:02:28.896725+07:00,,"KFC, Riau Bandung",1,Masa kentang yg large cm 3 biji
bandung,bandung,"KFC, Riau Bandung",I** J**** D****,2024-09-09T20:04:42.019483+07:00,,"KFC, Riau Bandung",2,Cream soup saya kurang 1
bandung,bandung,"KFC, Riau Bandung",wishnu,2024-08-18T22:43:18.543463+07:00,,"KFC, Riau Bandung",5,mantabz...the best...uenak poll pokoke....
bandung,bandung,"KFC, Riau Bandung",S**** R****** I*****,2024-08-17T18:27:38.737382+07:00,,"KFC, Riau Bandung",2,rugi ya lebihin saus sambal ? 
bandung,bandung,"KFC, Riau Bandung",V*** H********,2024-08-06T11:00:32.484126+07:00,,"KFC, Riau Bandung",2,"di table nya fanta,tp d kasihnya coca cola tanpa pemberian tauan..😑😑
tolong d perbaiki yaa mas kakak teteh "
bandung,bandung,"KFC, Riau Bandung",Mohmmad Barnawi,2024-07-23T22:25:15.45693+07:00,,"KFC, Riau Bandung",4,Keep the great work.
bandung,bandung,"KFC, Riau Bandung",hariadi fadli,2024-07-08T10:55:15.203451+07:00,,"KFC, Riau Bandung",5,KFC jagonya ayam 
bandung,bandung,"Lapau Nasi Mak Uncu, Dalem Kaum",Ade Surahman,2025-01-28T13:52:32.174353+07:00,,"Lapau Nasi Mak Uncu, Dalem Kaum",5,pokoke muantabbbb....
bandung,bandung,"Lapau Nasi Mak Uncu, Dalem Kaum",E**,2025-01-24T17:10:38.865995+07:00,,"Lapau Nasi Mak Uncu, Dalem Kaum",4,"pesen dendeng balado dikasih rendang. pelayanannya beda bgt ma dulu yg jauh lbh baik. wlpn u rasa, tetep ok.
driver complain kr yg baru dtg dilayani lbh dulu kr kenal.   driver kesel kr engga dilayani spt seharusnya (yg lbh dulu dtg) . toling diperbaiki ya.... biar mkin ok."
bandung,bandung,"Lapau Nasi Mak Uncu, Dalem Kaum",Indriani Lestari,2025-01-23T13:15:54.164468+07:00,,"Lapau Nasi Mak Uncu, Dalem Kaum",5,"nasi banyak , rasa sedap cuma sambelnya aja yg kurang banyak hehe .
pokonya mantepp polll"
bandung,bandung,"Lapau Nasi Mak Uncu, Dalem Kaum",S****** W*****,2024-12-31T15:13:31.293153+07:00,,"Lapau Nasi Mak Uncu, Dalem Kaum",4,"Kalo disatuin sama nasi, suka dikasih sedikit bumbu rendangnya."
bandung,bandung,"Lapau Nasi Mak Uncu, Dalem Kaum",dini gustini,2024-12-23T11:32:28.709054+07:00,,"Lapau Nasi Mak Uncu, Dalem Kaum",3,"bang kenapa ketuker pesenan nya ampe 2 porsi yg salah dari 5 pesenan,, pesen rendang daging di kasi ayam gule 😭😭"
bandung,bandung,"Lapau Nasi Mak Uncu, Dalem Kaum",I**** I******,2024-12-23T08:18:56.149711+07:00,,"Lapau Nasi Mak Uncu, Dalem Kaum",1,Ada lalat nya:(
bandung,bandung,"Lapau Nasi Mak Uncu, Dalem Kaum",Y*******,2024-12-20T12:11:09.135973+07:00,,"Lapau Nasi Mak Uncu, Dalem Kaum",5,enak selalu puas
bandung,bandung,"Lapau Nasi Mak Uncu, Dalem Kaum",R*** H*******,2024-12-18T13:25:43.179372+07:00,,"Lapau Nasi Mak Uncu, Dalem Kaum",1,"tidak sesuai note.
minta ayam paha malah di kasih dada 
minta tambah bumbu rendang malah tidak ada.
stop beli lgi ke sini.
kecewa"
bandung,bandung,"Lapau Nasi Mak Uncu, Dalem Kaum",R******,2024-12-13T12:37:20.525381+07:00,,"Lapau Nasi Mak Uncu, Dalem Kaum",5,"Makanan berasa rempahnya, apalagi gulai kikilnya empuk &amp; enak, porsi sangat mengenyangkan, hanya saja kuah gulainya asin☺️semoga next time rasanya pas😇"
bandung,bandung,"Lapau Nasi Mak Uncu, Dalem Kaum",andre,2024-12-13T09:58:35.791397+07:00,,"Lapau Nasi Mak Uncu, Dalem Kaum",5,kalo bisa tambah varian promo
bandung,bandung,"Lapau Nasi Mak Uncu, Dalem Kaum",I***,2024-12-11T10:15:47.871135+07:00,,"Lapau Nasi Mak Uncu, Dalem Kaum",5,"Udah langganan, bingung mau kasih review apalagi wkwk, udah kehabisan kata2, udah pasti enak "
bandung,bandung,"Lapau Nasi Mak Uncu, Dalem Kaum",I***,2024-12-11T09:58:30.285564+07:00,,"Lapau Nasi Mak Uncu, Dalem Kaum",5,"udah langganan, udah pasti enak dan sesuai catatan"
